selection_index,candidate_id,source_dataset,edit_type,instruction_original,strict_eligible,review_flags,region_correct_y_n,instruction_unambiguous_y_n,local_edit_y_n,gt_correct_y_n_or_na,multi_target_mapping_y_n_or_na,final_decision_keep_drop_rewrite,reviewer,review_notes
251,he__3LvzSuueSM,HumanEdit,add,The child holds a milk bottle in his right hand,True,,,,,,,,,
252,he__Jsde7RXd3o,HumanEdit,add,Add a fly to the transparent ball of the prototype,True,,,,,,,,,
253,he__oHRmhtvpWc,HumanEdit,add,Add dazzling lighting.,True,,,,,,,,,
254,he__vln5e2nOK0,HumanEdit,add,Get your child dressed,True,,,,,,,,,
255,he_axoIDVk0ThE,HumanEdit,add,Add a hat.,True,,,,,,,,,
256,he_bgoE05DFF9U,HumanEdit,add,Put a hat on the girl's head.,True,,,,,,,,,
257,he_nDExp37E9bs,HumanEdit,add,Add a hat.,True,,,,,,,,,
258,he_oUoRl1xBRaM,HumanEdit,add,Add a person walking in the center of the road.,True,,,,,,,,,
259,he_oV4bR3YoR_s,HumanEdit,add,What if there is a kayak parked by the water?,True,,,,,,,,,
260,he_ovlpqD8fb4M(1),HumanEdit,add,A rainbow appeared in front of the waterfall.,True,,,,,,,,,
261,he_ow87HfF-uG8,HumanEdit,add,Add a bee to the flower.,True,,,,,,,,,
262,he_000000089503,HumanEdit,counting,The number of giraffes changes from four to one.,True,,,,,,,,,
263,he_5-jtsfuaLBw,HumanEdit,counting,Turn a pile of withered leaves into a single withered leaf.,True,,,,,,,,,
264,he_5jUzLCyOBTk,HumanEdit,counting,Turn many bundles into one bundle.,True,,,,,,,,,
265,he_875kF6aOmTQ,HumanEdit,counting,Hockey players went from 3 to 2,True,,,,,,,,,
266,he_AvczuPZK6C0,HumanEdit,counting,Turn two cows into one cow.,True,,,,,,,,,
267,he_CiNHG2xuVlQ,HumanEdit,counting,Nine pictures become two.,True,,,,,,,,,
268,he_DWGBY2Wuqeo,HumanEdit,counting,Reduce the quantity by half.,True,,,,,,,,,
269,he_GQD3Av_9A88,HumanEdit,counting,"Of the 3 bonsai, only the red one is left.",True,,,,,,,,,
270,he_KfUshu6kbS4,HumanEdit,counting,Increase strawberries from one and a half to two.,True,,,,,,,,,
271,he_MvxMvPO3S1M,HumanEdit,counting,"The number of people decreases from 3 to 1, leaving only the person in the middle",True,,,,,,,,,
272,he_a0HEdfec_C0,HumanEdit,counting,Change the light bulb from one to three.,True,,,,,,,,,
273,he_cNTHQtQq4YU,HumanEdit,counting,Transform one sunflower in the vase into three.,True,,,,,,,,,
274,he_fdmPdHatM5E,HumanEdit,counting,Show the billboard only in Chinese.,True,,,,,,,,,
275,he_gYqrSOyJu9I,HumanEdit,counting,"Of the four firefighters, only the one furthest from the door stayed..",True,,,,,,,,,
276,he_k4SiuG9YzdE,HumanEdit,counting,"There are 3 blueberries outside the plate, which becomes 1.",True,,,,,,,,,
277,he_kcJr7qBdhKY,HumanEdit,counting,The three birds became just the biggest one left.,True,,,,,,,,,
278,he_p6Cavyt_-WA,HumanEdit,counting,Only one woman was left out of the four people in the room.,True,,,,,,,,,
279,he_ubA4MSQh9Po,HumanEdit,counting,Removing the horse without a lowered head makes the number of horses go from 2 to 1.,True,,,,,,,,,
280,he_04iFOldrYig,HumanEdit,remove,Remove all the cattle.,True,,,,,,,,,
281,he_0gQ8Fh1f54k,HumanEdit,remove,Remove the lime from the noodles.,True,,,,,,,,,
282,he_0wtaJS_nxBQ,HumanEdit,remove,Remove the girl wearing the black top from the picture,True,,,,,,,,,
283,he_10ca-K3e6Ko,HumanEdit,remove,Remove the white pattern from the black T-shirt.,True,,,,,,,,,
284,he_11tmJit0vQk,HumanEdit,remove,Remove the building in the lower right corner.,True,,,,,,,,,
285,he_1Lw1ZSRPm7o,HumanEdit,remove,Remove camels on the left in the desert.,True,,,,,,,,,
286,he_1RTvJnAiFtI,HumanEdit,remove,Remove the leaves on the left side of the branch.,True,,,,,,,,,
287,he_1SQsg_2eGdo,HumanEdit,remove,Remove the camera.,True,,,,,,,,,
288,he_2OalKAckLvU,HumanEdit,remove,What happens if there is no one on the zebra crossing?,True,,,,,,,,,
289,he_2Pm3LPrKvE4,HumanEdit,remove,Remove the larger snowflake at the back,True,,,,,,,,,
290,he_3IUTxfKJl34,HumanEdit,remove,Remove the middle giraffe,True,,,,,,,,,
291,he_3N4Z-OM1u78,HumanEdit,remove,Remove the boy on the right.,True,,,,,,,,,
292,he_3O25t7H2xmE,HumanEdit,remove,Remove people.,True,,,,,,,,,
293,he_3XUijzqLOV8,HumanEdit,remove,Remove a coconut tree on the left.,True,,,,,,,,,
294,he_3gvrzToFyXI,HumanEdit,remove,Remove light.,True,,,,,,,,,
295,he_3suAHB4_Smo,HumanEdit,remove,Remove the middle tree.,True,,,,,,,,,
296,he_4A1pj4_vClA,HumanEdit,remove,Remove the teapot.,True,,,,,,,,,
297,he_4BuNQT3IS_Y,HumanEdit,remove,Remove the bottom of the toy.,True,,,,,,,,,
298,he_4J_1bwE8-BY,HumanEdit,remove,Remove the top bird from the two,True,,,,,,,,,
299,he_4LnCTXNJit4,HumanEdit,remove,Remove the stone in the lower right corner of the screen,True,,,,,,,,,
300,he_4O3-PT_1eMY,HumanEdit,remove,Remove the medicine bottle in the lower right corner of the image,True,,,,,,,,,
301,he_4mu1thNgK24,HumanEdit,remove,Remove the ball.,True,,,,,,,,,
302,he_51adhgg5KkE,HumanEdit,remove,Remove the water glass.,True,,,,,,,,,
303,he_5D3SQkXKNhk,HumanEdit,remove,Remove glasses.,True,,,,,,,,,
304,he_5H4p2FEBmf4,HumanEdit,remove,Remove the shoes.,True,,,,,,,,,
305,he_5NJHUpmzD20,HumanEdit,remove,Remove white stripes from black shorts.,True,,,,,,,,,
306,he_5Qx4QBht_N4,HumanEdit,remove,Remove the brown on the feet of the blue and white bear doll.,True,,,,,,,,,
307,he_5SoGp8vJO00,HumanEdit,remove,Remove the top three lights.,True,,,,,,,,,
308,he_5V_pMmsv7wk,HumanEdit,remove,Remove the grass on the left.,True,,,,,,,,,
309,he_5glUYvzsWGY,HumanEdit,remove,Remove the hat.,True,,,,,,,,,
310,he_5htXZu3V3oM,HumanEdit,remove,Remove people from the beach.,True,,,,,,,,,
311,he_5iX4W5tIjYM,HumanEdit,remove,Remove ladybugs.,True,,,,,,,,,
312,he_5mTOegXTMUM,HumanEdit,remove,Remove white patterns from clothing.,True,,,,,,,,,
313,he_5mmngbWIflg,HumanEdit,remove,Remove wood from the water.,True,,,,,,,,,
314,he_5sh24a7m0BU,HumanEdit,remove,Remove the words 'There is' in the top row of the board.,True,,,,,,,,,
315,he_6-Grz7txpe8,HumanEdit,remove,Remove the pyramid behind the Sphinx,True,,,,,,,,,
316,he_6g-b4Ewoho0,HumanEdit,remove,Remove the red ball.,True,,,,,,,,,
317,he_7XHbr-V62IM,HumanEdit,remove,Remove the person farthest from the basket in the frame,True,,,,,,,,,
318,he_7tyW8-6rb_4,HumanEdit,remove,Remove the bottom fruit,True,,,,,,,,,
319,he_7wIg5ENOSCw,HumanEdit,remove,Remove the parasol behind the boy,True,,,,,,,,,
320,he_8VmiMhameng,HumanEdit,remove,Remove all the people behind the man in the center of the picture,True,,,,,,,,,
321,he_8bSV4ulfbzo,HumanEdit,remove,Remove the moon.,True,,,,,,,,,
322,he_8pc5B4rnw_I,HumanEdit,remove,Remove the woman in the middle of the road,True,,,,,,,,,
323,he_8s0x8fqTGXE,HumanEdit,remove,Remove cars and people.,True,,,,,,,,,
324,he_8tN3flDTQBU,HumanEdit,remove,Remove people standing in the middle of the road.,True,,,,,,,,,
325,he_9TdomzK-2d0,HumanEdit,remove,Remove people from the desert.,True,,,,,,,,,
326,he_9UNuCjJnQbA,HumanEdit,remove,Remove the phone from the quilt.,True,,,,,,,,,
327,he_9V2d3RoUEdk,HumanEdit,remove,Remove the leaves on the right.,True,,,,,,,,,
328,he_9Vq-VuI7woY,HumanEdit,remove,Remove the monk sculpture on the far right.,True,,,,,,,,,
329,he_9iR21DGebEs,HumanEdit,remove,Remove the woman at the back of the two women,True,,,,,,,,,
330,he_9swU_dZxwGg,HumanEdit,remove,Remove the leaves in the lower left corner.,True,,,,,,,,,
331,he_AxnzedBAdxo,HumanEdit,remove,Remove the sunglasses.,True,,,,,,,,,
332,he_N92PmuFjVOI,HumanEdit,remove,Remove the right girl.,True,,,,,,,,,
333,he_OdjhBf4Ar4I,HumanEdit,remove,Only the cup filled with blue liquid is left,True,,,,,,,,,
334,he__M4SLgyL3Ps,HumanEdit,remove,Remove the items on the left wall.,True,,,,,,,,,
335,he__RnbxS6vUb8,HumanEdit,remove,Remove the little fox on the left.,True,,,,,,,,,
336,he__Wt5CgwWk1k,HumanEdit,remove,Remove pattern in the top of the girl.,True,,,,,,,,,
337,he__g30Vjnlhkk,HumanEdit,remove,Remove a dog collar.,True,,,,,,,,,
338,he__hpk_92Crhs,HumanEdit,remove,Remove clouds between mountains,True,,,,,,,,,
339,he__w0XkDuLj88,HumanEdit,remove,Remove things from the blanket.,True,,,,,,,,,
340,he_-3E9wA9VWCY,HumanEdit,replace,Change white top to black top.,True,,,,,,,,,
341,he_-3Mbr-3-e2s,HumanEdit,replace,Replace the black hat of the big doll in the middle with a Santa hat,True,,,,,,,,,
342,he_0HPhEPT3FmE,HumanEdit,replace,Replace the red flower on the left with a white flower.,True,,,,,,,,,
343,he_0Ut0pNrTdQo,HumanEdit,replace,Replace the Statue of Liberty with a lighthouse.,True,,,,,,,,,
344,he_0hwoPb13zuQ,HumanEdit,replace,Replace a woman's gold necklace with a brown and black one.,True,,,,,,,,,
345,he_0l_PZ1mO_ZA,HumanEdit,replace,Replace the color of the clothes.,True,,,,,,,,,
346,he_0pSsWN8uqAE,HumanEdit,replace,Change the number6 in the shirt to 8.,True,,,,,,,,,
347,he_1GxT-yz-PGQ,HumanEdit,replace,Change black hat to white hat.,True,,,,,,,,,
348,he_1KTNlv11tDc,HumanEdit,replace,Replace the pink flower in the left shoe with blue.,True,,,,,,,,,
349,he_1dwyU46p7eE,HumanEdit,replace,Turn white top into blue.,True,,,,,,,,,
350,he_1fb6ubsKS0w,HumanEdit,replace,Change another yellow skirt to black.,True,,,,,,,,,
351,he_1fdh8ho4jiM,HumanEdit,replace,Change blue top to white.,True,,,,,,,,,
352,he_28ztKXfneYk,HumanEdit,replace,Replace the grass in the lower left corner and the clod in the lower right corner with grass.,True,,,,,,,,,
353,he_29h2n639YDA,HumanEdit,replace,Replace the fruit in the lower right corner with an apple.,True,,,,,,,,,
354,he_2rIs8OH5ng0,HumanEdit,replace,Change the black top to a white lace top,True,,,,,,,,,
355,he_30AOxN5emxs,HumanEdit,replace,Swap black pants for blue pants.,True,,,,,,,,,
356,he_3KawHcKmfAw,HumanEdit,replace,Change the white top to a black top.,True,,,,,,,,,
357,he_3OG8ywzgjJY,HumanEdit,replace,Replace yellow hair with black.,True,,,,,,,,,
358,he_3OQejbTxeTY,HumanEdit,replace,Replace the powder in front of the bottle with a small white cup.,True,,,,,,,,,
359,he_3QDsA0uUd4k,HumanEdit,replace,Replace the front greenery with a prickly cactus.,True,,,,,,,,,
360,he_3Qi0PkM_Wes,HumanEdit,replace,Replace a child's curly hair with hair only on the top of the head.,True,,,,,,,,,
361,he_3SwQ_pDAitQ,HumanEdit,replace,Change the bug's eyes to yellow.,True,,,,,,,,,
362,he_3d853e9ZjPM,HumanEdit,replace,White hat with black chin strap replaced with black hat with white chin strap,True,,,,,,,,,
363,he_3ifyMZdTDUY,HumanEdit,replace,Change eye color to yellow.,True,,,,,,,,,
364,he_3khMcS5CLN0,HumanEdit,replace,Change the white top to a black top.,True,,,,,,,,,
365,he_3qoJo9hp2Ak,HumanEdit,replace,Replace the pomegranate on the right with an onion.,True,,,,,,,,,
366,he_3sBnJqI8LXo,HumanEdit,replace,Replace the trees on the right with white mist.,True,,,,,,,,,
367,he_3t6rfsCaWiQ,HumanEdit,replace,Replace a woman's brown bag with a plaid bag.,True,,,,,,,,,
368,he_3tvnHnUXjDU,HumanEdit,replace,Replace the three yellow flowers in the middle with three white flowers.,True,,,,,,,,,
369,he_46juD4zY1XA,HumanEdit,replace,Change the paint on the far right to pink.,True,,,,,,,,,
370,he_50uhRqRVJM8,HumanEdit,replace,Wear a red halter dress with a pink dress behind it.,True,,,,,,,,,
371,he_5r7YLkOwwQg,HumanEdit,replace,Swap black hair for blonde hair.,True,,,,,,,,,
372,he_6hkjCMStvQ0,HumanEdit,replace,Switch to a black cup.,True,,,,,,,,,
373,he_6zKEK46iVIc,HumanEdit,replace,Turn water droplets into small snails.,True,,,,,,,,,
374,he_7zfQ6sbWVyE,HumanEdit,replace,Turn the small tomato in the upper right corner of the picture into a big tomato,True,,,,,,,,,
375,he_805S0qauwKQ,HumanEdit,replace,Replace your black top with a white summer top,True,,,,,,,,,
376,he_87InWldRhgs,HumanEdit,replace,Replace the cucumber slices on your eyes with a piece of chrysanthemum,True,,,,,,,,,
377,he_8TgvLWnhlbQ,HumanEdit,replace,Turn the phone from the back to the front,True,,,,,,,,,
378,he_8VxLn3IgokM,HumanEdit,replace,Change the black top to white.,True,,,,,,,,,
379,he_8a3LPB-Z9Ag,HumanEdit,replace,Change the skirt to a white top and pink skirt,True,,,,,,,,,
380,he_8vn4KvfU640,HumanEdit,replace,Change the green top to black.,True,,,,,,,,,
381,he_9T-ECH-1Tj0,HumanEdit,replace,Replace the round moon with a meniscus.,True,,,,,,,,,
382,he_9sZ_aSCZ0W8,HumanEdit,replace,Replace the black phone on the left with a mouse.,True,,,,,,,,,
383,he_9t1l8iKx1xA,HumanEdit,replace,Turn the rabbit's pink ears into white ears.,True,,,,,,,,,
384,he_9u2GMRE8MdE,HumanEdit,replace,Replace the picture on the left with a rabbit.,True,,,,,,,,,
385,he_9uUy6Rf7iPw,HumanEdit,replace,Replace the orange feathers in the middle of the bird with pink.,True,,,,,,,,,
386,he_9vHPCKymSh0,HumanEdit,replace,Swap a woman's black belt for a white skirt.,True,,,,,,,,,
387,he_A_f5ucMXRH4,HumanEdit,replace,Change glasses to sunglasses.,True,,,,,,,,,
388,he_Vdkm_nd237s,HumanEdit,replace,Replace the white light ball on the right with red.,True,,,,,,,,,
389,he__RfbgayXWOk,HumanEdit,replace,Turn the two pine cones on the left side of the table into red apples on a wooden plate.,True,,,,,,,,,
390,he__Rh_zxIUWXA,HumanEdit,replace,Replace the blue mask on a woman's face with a silver one.,True,,,,,,,,,
391,he__SMGQ74kB3c,HumanEdit,replace,Replace the plain black pants of a woman in the desert with pants printed with many large flowers.,True,,,,,,,,,
392,he__XQflc16W0I,HumanEdit,replace,Replace the donut-shaped nose with a normal nose,True,,,,,,,,,
393,he__rWF1DVWkUs,HumanEdit,replace,Replace the black skirt worn by the woman in the middle with black shorts.,True,,,,,,,,,
394,he__urKfD3fUK8,HumanEdit,replace,Change the pencil color to red.,True,,,,,,,,,
395,he__v1ipqy_fd4,HumanEdit,replace,Change the ice block in the hand to  a chrysanthemum.,True,,,,,,,,,
396,he__zd5Lqg6qwc,HumanEdit,replace,Change blue and white plaid top to black top.,True,,,,,,,,,
397,he_fbAnIjhrOL4,HumanEdit,replace,Replace the cactus with a red rose.,True,,,,,,,,,
398,he_kC28celkE_0,HumanEdit,replace,Change to tan leather shoes and lean on the railing with your left foot on tiptoe.,True,,,,,,,,,
399,he_ouDjrbw-fs0,HumanEdit,replace,Pink lipstick turns into red lipstick.,True,,,,,,,,,
400,rs_000101_1,ReShapeBench,multi_object,Change the classic street lamp into a modern solar-powered light pole,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
401,rs_000101_2,ReShapeBench,multi_object,Change the classic street lamp into an ornate cast-iron clock post,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
402,rs_000102_1,ReShapeBench,multi_object,Change the flock of sheep into a small herd of goats,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
403,rs_000102_2,ReShapeBench,multi_object,Change the flock of sheep into a group of grazing alpacas,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
404,rs_000103_1,ReShapeBench,multi_object,Change the cat-face pillow into a round striped cushion,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
405,rs_000104_2,ReShapeBench,multi_object,Change the metal sugar bowl into a glass honey dispenser with a metal lid,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
406,rs_000105_1,ReShapeBench,multi_object,Change the wooden chair into a white wicker bench,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
407,rs_000105_2,ReShapeBench,multi_object,Change the wooden chair into a rustic tree stump,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
408,rs_000106_1,ReShapeBench,multi_object,"Change the shepherd into a woman in a bright red dress and sun hat, carrying a basket",False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
409,rs_000106_2,ReShapeBench,multi_object,"Change the shepherd into a young boy in overalls and a straw hat, holding a wooden flute",False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
410,rs_000107_1,ReShapeBench,multi_object,Change the ice-cream cone into a red balloon,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
411,rs_000107_2,ReShapeBench,multi_object,Change the ice-cream cone into a toy airplane,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
412,rs_000108_1,ReShapeBench,multi_object,Change the yellow bicycle with a basket into a classic black scooter,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
413,rs_000108_2,ReShapeBench,multi_object,Change the yellow bicycle with a basket into a vintage wooden cart with metal wheels,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
414,rs_000109_2,ReShapeBench,multi_object,Change the glass of orange spritz into a glass of iced matcha latte,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
415,rs_000110_2,ReShapeBench,multi_object,Change the plastic-wrapped buns into green apples,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
416,rs_000111_1,ReShapeBench,multi_object,Change the white umbrella into a white folding chair,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
417,rs_000111_2,ReShapeBench,multi_object,Change the white umbrella into a large bouquet of white flowers,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
418,rs_000112_1,ReShapeBench,multi_object,Change the pink drink in the glass into a green smoothie in the glass,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
419,rs_000113_1,ReShapeBench,multi_object,Change the row of colorful bottles into a row of small potted succulents,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
420,rs_000113_2,ReShapeBench,multi_object,Change the row of colorful bottles into a row of neatly stacked vintage books,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
421,rs_000114_1,ReShapeBench,multi_object,Change the white ceramic spoon into a pair of wooden chopsticks,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
422,rs_000115_1,ReShapeBench,multi_object,Change the woven pendant light into a modern metal sphere light,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
423,rs_000115_2,ReShapeBench,multi_object,Change the woven pendant light into a large white paper lantern,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
424,rs_000116_1,ReShapeBench,multi_object,Change the bunches of dried peppers and chilies into bunches of white garlic bulbs,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
425,rs_000117_2,ReShapeBench,multi_object,Change the ornate birdcage into a grandfather clock,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
426,rs_000118_1,ReShapeBench,multi_object,Change the worn soccer ball into a worn leather backpack,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
427,rs_000119_1,ReShapeBench,multi_object,Change the plate with an orange into a plate with a slice of cake,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
428,rs_000120_2,ReShapeBench,multi_object,Change the watermelon slices into cantaloupe slices,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
429,rs_000121_1,ReShapeBench,multi_object,Change the wine glass into a small vase filled with pink roses,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
430,rs_000121_2,ReShapeBench,multi_object,Change the wine glass into a decorative brass candlestick with an unlit white candle,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
431,rs_000122_1,ReShapeBench,multi_object,Change the bowl of Turkish delights into a plate of assorted cookies,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
432,rs_000123_2,ReShapeBench,multi_object,Change the yellow pitcher with paintbrushes into a yellow pitcher with sunflowers,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
433,rs_000124_2,ReShapeBench,multi_object,Change the glass bowl filled with red berries into a woven basket filled with red berries,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
434,rs_000125_1,ReShapeBench,multi_object,Change the black scooter into a bucket,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
435,rs_000125_2,ReShapeBench,multi_object,Change the black scooter into a chair,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
436,rs_000126_2,ReShapeBench,multi_object,Change the white paper bag with croissants into a white paper bag with a bunch of green grapes,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
437,rs_000127_2,ReShapeBench,multi_object,Change the dog sitting beside the woman into a woven picnic basket,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
438,rs_000128_1,ReShapeBench,multi_object,Change the vase with dried flowers into a stack of books,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
439,rs_000128_2,ReShapeBench,multi_object,Change the vase with dried flowers into a ceramic fruit bowl filled with oranges,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
440,rs_000129_2,ReShapeBench,multi_object,Change the glass of orange liquid into a ceramic teapot,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
441,rs_000130_1,ReShapeBench,multi_object,Change the plate of toast with orange preserves into a plate of toast with berry jam,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
442,rs_000131_1,ReShapeBench,multi_object,Change the wooden nightstand with a stack of books into a wooden nightstand with a small potted plant,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
443,rs_000131_2,ReShapeBench,multi_object,Change the wooden nightstand with a stack of books into a wooden nightstand with an antique brass clock,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
444,rs_000132_1,ReShapeBench,multi_object,Change the toasted bread slices into carrot sticks,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
445,rs_000132_2,ReShapeBench,multi_object,Change the toasted bread slices into crispy pita chips,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
446,rs_000133_1,ReShapeBench,multi_object,Change the glass of iced soda with a striped straw into a small plate of pastries,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
447,rs_000134_1,ReShapeBench,multi_object,Change the lifeguard tower into a lighthouse,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
448,rs_000134_2,ReShapeBench,multi_object,Change the lifeguard tower into a beachside snack kiosk,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
449,rs_000135_2,ReShapeBench,multi_object,Change the blueberry-topped round pastry into a rectangular slice of layered strawberry shortcake,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
450,rs_000136_1,ReShapeBench,multi_object,Change the ceramic pitcher into a clear glass tumbler,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
451,rs_000137_1,ReShapeBench,multi_object,Change the bouquet of pink flowers into a vintage brown leather suitcase,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
452,rs_000138_1,ReShapeBench,multi_object,Change the bottle of Sassi water into a vintage ceramic teapot with intricate patterns,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
453,rs_000138_2,ReShapeBench,multi_object,"Change the bottle of Sassi water into a tall, slender crystal candlestick",True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
454,rs_000139_2,ReShapeBench,multi_object,Change the pink-and-white box with a decorative tag into a vase with a single pink tulip,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
455,rs_000140_1,ReShapeBench,multi_object,Change the left table with striped tablecloth into a left table with round marble tabletop and no tablecloth,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
456,rs_000140_2,ReShapeBench,multi_object,Change the left table with striped tablecloth into a left table replaced by a large woven basket,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
457,rs_000141_1,ReShapeBench,multi_object,Change the wooden crate of oranges into a wooden crate of books,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
458,rs_000141_2,ReShapeBench,multi_object,Change the wooden crate of oranges into a wooden crate of potted flowers,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
459,rs_000142_1,ReShapeBench,multi_object,Change the large striped hot air balloon with 'www.royal' text into a giant floating beach ball with 'www.royal' text,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
460,rs_000143_2,ReShapeBench,multi_object,Change the yellow phone with a map design into a stack of colorful macarons,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
461,rs_000144_2,ReShapeBench,multi_object,Change the golden spoon into a pair of wooden chopsticks,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
462,rs_000145_1,ReShapeBench,multi_object,Change the empty blue coffee grinder into a blue coffee grinder with a jar of cookies in the hopper,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
463,rs_000145_2,ReShapeBench,multi_object,Change the empty blue coffee grinder into a blue coffee grinder with red apples in the hopper,False,needs_sam2_mask_refinement|no_gt_image|too_many_mask_components,,,,,,,,
464,rs_000146_1,ReShapeBench,multi_object,Change the glass of red wine into a ceramic teacup,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
465,rs_000146_2,ReShapeBench,multi_object,Change the glass of red wine into a tall glass bottle of lemonade,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
466,rs_000147_2,ReShapeBench,multi_object,Change the blueberry-topped tart into a slice of lemon cheesecake,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
467,rs_000148_1,ReShapeBench,multi_object,Change the small round wooden table into a small round wicker ottoman,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
468,rs_000149_1,ReShapeBench,multi_object,Change the set of colorful pencils into a wooden mannequin figure,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
469,rs_000150_2,ReShapeBench,multi_object,Change the glass pitcher into a rustic wooden ladle,False,mask_area_above_limit|needs_sam2_mask_refinement|no_gt_image,,,,,,,,
470,rs_000001_1,ReShapeBench,single_object,Change the car into a bicycle,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
471,rs_000002_1,ReShapeBench,single_object,Change the squirrel into a hummingbird,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
472,rs_000003_1,ReShapeBench,single_object,Change the sneaker into a cat,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
473,rs_000005_1,ReShapeBench,single_object,Change the snowdrops into a pocket watch,True,needs_sam2_mask_refinement|no_gt_image,,,,,,,,
