selection_index,candidate_id,source_dataset,edit_type,instruction_original,local_caption,source_split,source_shard,source_row,source_record_id,source_group_id,scene_group_id,reference_categories,selection_tier,selection_focus
117,cb_train-00006-of-00007_0334,CompBench,multi_object_add,add a white goose on the right of the leftmost one and a white goose on the right of the rightmost one,two geese|a goose,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,334,e7e2a0b9_00002.png,cb-src-b5ef2f56b7b3537e7596,cb-scene-e7e2a0b9,extreme|side,A,extreme_or_superlative_instance|directional_instance|multiple_edit_targets
118,cb_train-00006-of-00007_0336,CompBench,multi_object_add,add a white bird on the leftmost and a blue and grey bird on the upper right of the birds,a bird|a bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,336,ee91f783_00005.png,cb-src-0ca3bbc61ea3041ba937,cb-scene-ee91f783,extreme|side,A,extreme_or_superlative_instance|directional_instance|multiple_edit_targets
119,cb_train-00006-of-00007_0356,CompBench,multi_object_remove,remove the rightmost yellow horse and the white horse on the left,grass|grass,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,356,31b09833_00043.png,cb-src-cd800c025eafc4733e94,cb-scene-31b09833,extreme|side,A,extreme_or_superlative_instance|directional_instance|multiple_edit_targets
120,cb_train-00006-of-00007_0396,CompBench,multi_object_remove,remove the zebra facing front on the right and the leftmost zebra,grassland and a zebra|grassland,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,396,b33ade7c_00003.png,cb-src-bf8c78ae73997a6432c0,cb-scene-b33ade7c,extreme|side,A,extreme_or_superlative_instance|directional_instance|multiple_edit_targets
121,cb_train-00000-of-00007_0200,CompBench,add,add a tiger on the left side of the first tiger on the right,a tiger,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,200,32ecef67/2/00009.png,cb-src-9fb3d169a5014361c885,cb-scene-32ecef67,ordinal|side,A,ordinal_instance|directional_instance
122,cb_train-00000-of-00007_0210,CompBench,add,add a blue-clothed person on the left side of the first person on the left with their head facing right,a blue-clothed person,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,210,34a5f964/1/00029.png,cb-src-82e778000ddbcb318aa7,cb-scene-34a5f964,ordinal|side,A,ordinal_instance|directional_instance
123,cb_train-00000-of-00007_0293,CompBench,add,"add a sheep with similar fur to the second one on the right side of the person, which is slightly smaller than the first one on the right",a brown sheep,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,293,5d2316f6/4/00028.png,cb-src-a3ade2f877a8fa76c903,cb-scene-5d2316f6,ordinal|side,A,ordinal_instance|directional_instance
124,cb_train-00000-of-00007_0335,CompBench,add,"add a bird on the left near side of the second bird on the right, with its neck stretched out and turning to the left",a white bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,335,790285e8/0/00011.png,cb-src-9d0005655df793a87842,cb-scene-790285e8,ordinal|side,A,ordinal_instance|directional_instance
125,cb_train-00001-of-00007_0106,CompBench,add,add a black-and-white duck on the upper left of the first duck on the right,a black-and-white duck,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,106,87fc565c/0/00104.png,cb-src-7a079382d6090efe1ff6,cb-scene-87fc565c,ordinal|side,A,ordinal_instance|directional_instance
126,cb_train-00001-of-00007_0119,CompBench,add,add a white cow on the right side of the two gray and white cows in the middle,a white cow,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,119,8c8b7913/0/00021.png,cb-src-b29233d611582d7b57b9,cb-scene-8c8b7913,middle|side,A,central_instance|directional_instance
127,cb_train-00001-of-00007_0129,CompBench,add,add a black and white duck on the upper side of the feed盆 facing the first red-faced white duck,a black and white duck,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,129,8d0d641a/1/00112.png,cb-src-cb6f0b7c0931d72a3354,cb-scene-8d0d641a,ordinal|side,A,ordinal_instance|directional_instance
128,cb_train-00001-of-00007_0149,CompBench,add,add a black duck similar in size and orientation to the second duck from the right on its upper side,a black duck,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,149,8d0d641a/6/00003.png,cb-src-205871a0f40be05e42e6,cb-scene-8d0d641a,ordinal,A,ordinal_instance
129,cb_train-00001-of-00007_0225,CompBench,add,"add a pure white pigeon on the upper side of the first pigeon on the right, facing the lower left corner",a white pigeon,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,225,9ffb2818/3/00063.png,cb-src-d57406ae479feaf61d66,cb-scene-9ffb2818,ordinal|side,A,ordinal_instance|directional_instance
130,cb_train-00001-of-00007_0373,CompBench,add,add a zebra on the right front of the second zebra on the right,a zebra,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,373,c1ed21d0/0/00032.png,cb-src-b10330dbf6b4cb31c42d,cb-scene-c1ed21d0,ordinal|side,A,ordinal_instance|directional_instance
131,cb_train-00001-of-00007_0404,CompBench,add,add a brown horse on the right side of the first black horse on the left,a brown horse,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,404,cb170015/0/00021.png,cb-src-83c507565c32a11f3b7e,cb-scene-cb170015,ordinal|side,A,ordinal_instance|directional_instance
132,cb_train-00002-of-00007_0002,CompBench,add,add a monkey on the left of the first monkey on the right of the stone railing that is facing away from it,a monkey,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,2,cfc68a82/0/00041.png,cb-src-26361c1e3f72544021e3,cb-scene-cfc68a82,ordinal|side,A,ordinal_instance|directional_instance
133,cb_train-00002-of-00007_0083,CompBench,add,"add a red and white fish on the left side of the second fish on the right, facing away",a red and white fish,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,83,e3dcd186/2/00058.png,cb-src-29a8b2784e89abac68d3,cb-scene-e3dcd186,ordinal|side,A,ordinal_instance|directional_instance
134,cb_train-00002-of-00007_0089,CompBench,add,add a tiger walking to the left front between the two tigers near the pool,a tiger,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,89,e5665030/1/00021.png,cb-src-ed63773800507bc73fc8,cb-scene-e5665030,between,A,between_anchors
135,cb_train-00003-of-00007_0138,CompBench,remove,remove the zebra in the middle of the left,ground,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00003-of-00007.parquet,138,58264713/0/00014.png,cb-src-7fcdf1609abf6f79a1f1,cb-scene-58264713,between|middle,A,between_anchors|central_instance
136,cb_train-00004-of-00007_0043,CompBench,remove,remove the first sheep in the upper left corner of the flock,a white sheep and the ground,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00004-of-00007.parquet,43,890ef032/4/00071.png,cb-src-8f409cfa9efe5e241cdf,cb-scene-890ef032,ordinal|side,A,ordinal_instance|directional_instance
137,cb_train-00005-of-00007_0164,CompBench,remove,remove the bird in the middle of the right,ground,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00005-of-00007.parquet,164,ee91f783/4/00000.png,cb-src-25131c629aa332ed5bbb,cb-scene-ee91f783,between|middle,A,between_anchors|central_instance
138,cb_train-00006-of-00007_0308,CompBench,multi_object_add,add a black duck on the upper right of the ducks near the feeding bowl and another one on the uppper left,a black duck|a black duck,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,308,8d0d641a_00003.png,cb-src-ae817f4400b160bca5c3,cb-scene-8d0d641a,side|exclusion,A,directional_instance|subset_by_exclusion|multiple_edit_targets
139,cb_train-00006-of-00007_0339,CompBench,multi_object_add,add a chicken in the middle and a chicken on the bottom left,a chicken|a chicken,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,339,f92cdae8_00001.png,cb-src-51038715a759afe66e66,cb-scene-f92cdae8,middle|side,A,central_instance|directional_instance|multiple_edit_targets
140,cb_train-00006-of-00007_0351,CompBench,multi_object_remove,remove the grey bird on the right and the yellow bird in the middle,wiring nets|wiring nets,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,351,1dc12eca_00042.png,cb-src-a8043af7b5accc9d321c,cb-scene-1dc12eca,middle|side,A,central_instance|directional_instance|multiple_edit_targets
141,cb_train-00006-of-00007_0411,CompBench,multi_object_remove,remove the chicken in the middle and the chicken on the bottom left,ground|ground,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,411,f92cdae8_00001.png,cb-src-b9ae600cb3e48bac97bf,cb-scene-f92cdae8,middle|side,A,central_instance|directional_instance|multiple_edit_targets
142,cb_train-00000-of-00007_0018,CompBench,add,add a red-clothed man holding a camera to the right under the uppermost man,three men,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,18,03012cfd/0/00083.png,cb-src-543f0d138b5d4dcfdd4c,cb-scene-03012cfd,extreme|relative,A,extreme_or_superlative_instance|relative_to_neighbor
143,cb_train-00001-of-00007_0182,CompBench,add,add a brown duck in front of the rightmost duck,a brown duck,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,182,96a6722e/0/00058.png,cb-src-023e060fb4595d910a09,cb-scene-96a6722e,extreme|relative,A,extreme_or_superlative_instance|relative_to_neighbor
144,cb_train-00001-of-00007_0232,CompBench,add,add a man wearing a red jersey with his back to the camera behind the leftmost man in black,a man in red jersey,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,232,a034feb2/1/00146.png,cb-src-9382cf88330e3fcbc49d,cb-scene-a034feb2,extreme|relative,A,extreme_or_superlative_instance|relative_to_neighbor
145,cb_train-00000-of-00007_0012,CompBench,add,add a white fish on the upper left of the leftmost yellow fish,a white fish,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,12,02b72b8d/2/00016.png,cb-src-1b06dcf3145eb2ae46d9,cb-scene-02b72b8d,extreme|side,A,extreme_or_superlative_instance|directional_instance
146,cb_train-00000-of-00007_0068,CompBench,add,add a zebra on the right side of the rightmost zebra facing left,a zebra,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,68,12fdc864/0/00025.png,cb-src-6ef2ca3f96d5f7bd6d21,cb-scene-12fdc864,extreme|side,A,extreme_or_superlative_instance|directional_instance
147,cb_train-00000-of-00007_0124,CompBench,add,add a black and white sheep-like object on the upper left corner of the leftmost sheep,two white sheep,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,124,1e75004d/4/00038.png,cb-src-b311f7cfd2ee72c7b002,cb-scene-1e75004d,extreme|side,A,extreme_or_superlative_instance|directional_instance
148,cb_train-00000-of-00007_0129,CompBench,add,add a duck on the rightmost side with its body facing right and similar feather color to other ducks,a brownish-gray duck,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,129,1e95ef5e/0/00002.png,cb-src-a5b7b742262d9b4cf844,cb-scene-1e95ef5e,extreme,B,extreme_or_superlative_instance
149,cb_train-00000-of-00007_0135,CompBench,add,add a fish on the left side of the uppermost fish that is partially blocked,two silver fish,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,135,1fb378d9/4/00058.png,cb-src-d4be707c203ca88d8fa6,cb-scene-1fb378d9,extreme|side,A,extreme_or_superlative_instance|directional_instance
150,cb_train-00000-of-00007_0146,CompBench,add,add a yellow dog on the lower side of the leftmost dog with its back facing,a yellow dog,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,146,251bf059/0/00040.png,cb-src-39fb3c908c3b66888129,cb-scene-251bf059,extreme|side,A,extreme_or_superlative_instance|directional_instance
151,cb_train-00000-of-00007_0153,CompBench,add,add a similar sheep below the sheep at the bottom of the flock,two white and yellow striped sheep,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,153,25af2eeb/1/00022.png,cb-src-7791729a925d96050aa1,cb-scene-25af2eeb,relative|side,A,relative_to_neighbor|directional_instance
152,cb_train-00000-of-00007_0159,CompBench,add,add a zebra on the leftmost side of the zebra group facing right,two zebras,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,159,29ff29f6/3/00026.png,cb-src-cd9918b4e290943a1bfc,cb-scene-29ff29f6,extreme,B,extreme_or_superlative_instance
153,cb_train-00000-of-00007_0168,CompBench,add,"add a monkey on the leftmost side with a similar color to the others, sitting and hugging the monkey on its right",two monkeys,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,168,2bc0bba4/0/00010.png,cb-src-e48d038975a64b3174de,cb-scene-2bc0bba4,extreme,B,extreme_or_superlative_instance
154,cb_train-00000-of-00007_0169,CompBench,add,add a monkey on the right side of the leftmost monkey sitting on the ground with its head facing the lower left corner,a yellow monkey,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,169,2bc0bba4/0/00035.png,cb-src-abc96f4e8054d331a53e,cb-scene-2bc0bba4,extreme|side,A,extreme_or_superlative_instance|directional_instance
155,cb_train-00000-of-00007_0211,CompBench,add,add a brown bear on the right side of the leftmost bear with its back facing and head towards the left,a brown bear,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,211,34ccea00/0/00004.png,cb-src-c80c210a18158709f161,cb-scene-34ccea00,extreme|side,A,extreme_or_superlative_instance|directional_instance
156,cb_train-00000-of-00007_0264,CompBench,add,add a white-bodied red-spotted fish with its head pointing to the lower right corner on the left lower corner of the rightmost fish,a white-bodied red-spotted fish,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,264,4a41cbf8/2/00058.png,cb-src-291f0a09b357b14cec48,cb-scene-4a41cbf8,extreme|side,A,extreme_or_superlative_instance|directional_instance
157,cb_train-00000-of-00007_0300,CompBench,add,add a duck on the rightmost side of the duck group facing left,a yellow and black duck,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,300,6149becc/0/00112.png,cb-src-c01bfa4cded88aec2091,cb-scene-6149becc,extreme,B,extreme_or_superlative_instance
158,cb_train-00000-of-00007_0325,CompBench,add,add a similar airplane to the right of the airplane at the bottom,a black airplane,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,325,76303516/1/00008.png,cb-src-ca91028ce73bf1345181,cb-scene-76303516,relative|side,A,relative_to_neighbor|directional_instance
159,cb_train-00000-of-00007_0390,CompBench,add,add a similar airplane to the uppermost airplane on its upper side,a white airplane,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,390,82a3db34/0/00035.png,cb-src-a4ee0ecddaeffffc9fbe,cb-scene-82a3db34,extreme,B,extreme_or_superlative_instance
160,cb_train-00001-of-00007_0121,CompBench,add,add a grayish-white cow similar to the rightmost cow on its left,a white cow,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,121,8c8b7913/4/00010.png,cb-src-e29b8cb80fdea4167e37,cb-scene-8c8b7913,extreme,B,extreme_or_superlative_instance
161,cb_train-00001-of-00007_0155,CompBench,add,add a rabbit on the leftmost with its head pointing to the lower left and tail pointing to the upper right,a white rabbit,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,155,91b754c5/2/00016.png,cb-src-6827188093280f10aad5,cb-scene-91b754c5,extreme|side,A,extreme_or_superlative_instance|directional_instance
162,cb_train-00001-of-00007_0185,CompBench,add,add a gray-brown duck with fur on the left side of the rightmost duck,a brown duck,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,185,96a6722e/0/00076.png,cb-src-9c52da38ce2c0ae01ec4,cb-scene-96a6722e,extreme|side,A,extreme_or_superlative_instance|directional_instance
163,cb_train-00001-of-00007_0193,CompBench,add,"add a white duck on the lower side of the brown duck below the flock of ducks, with its head facing right",a white duck,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,193,994ed763/0/00040.png,cb-src-229db65615fa9aff7eb8,cb-scene-994ed763,relative|side,A,relative_to_neighbor|directional_instance
164,cb_train-00001-of-00007_0203,CompBench,add,add a duck similar to the brown duck on the leftmost side of the duck group on its left,a brown duck,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,203,994ed763/3/00041.png,cb-src-33fd523cf99fdd86acd8,cb-scene-994ed763,extreme,B,extreme_or_superlative_instance
165,cb_train-00001-of-00007_0212,CompBench,add,add a small zebra on the lower left of the rightmost zebra facing right,two zebras,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,212,9ed4317a/0/00068.png,cb-src-385f83ae1be109654e02,cb-scene-9ed4317a,extreme|side,A,extreme_or_superlative_instance|directional_instance
166,cb_train-00001-of-00007_0236,CompBench,add,add a chicken on the rightmost goose walking to the left that looks similar to other chickens,a brown chicken,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,236,a25316a3/1/00012.png,cb-src-f3c0149d525a93c4b477,cb-scene-a25316a3,extreme,B,extreme_or_superlative_instance
167,cb_train-00001-of-00007_0237,CompBench,add,"add a brown chicken on the right side of the rightmost pillar and on the left side of the leftmost chicken, with its side facing left",a brown chicken,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,237,a25316a3/1/00014.png,cb-src-9226eb8b3ad58d3d621b,cb-scene-a25316a3,extreme|side,A,extreme_or_superlative_instance|directional_instance
168,cb_train-00001-of-00007_0249,CompBench,add,add a zebra on the leftmost side of the group of zebras that is walking to the left,four zebras,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,249,a3e85b4b/2/00044.png,cb-src-f0ee3150edd0886c13ca,cb-scene-a3e85b4b,extreme,B,extreme_or_superlative_instance
169,cb_train-00001-of-00007_0252,CompBench,add,add a fish swimming in the same direction far behind the fish tail on the right,a blue fish,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,252,a3f0cb28/0/00025.png,cb-src-593377db3fe6dadf4304,cb-scene-a3f0cb28,relative|side,A,relative_to_neighbor|directional_instance
170,cb_train-00001-of-00007_0330,CompBench,add,add a zebra on the leftmost side facing forward in the group of zebras,a zebra,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,330,b33ade7c/1/00005.png,cb-src-fbef314719050bc641da,cb-scene-b33ade7c,extreme,B,extreme_or_superlative_instance
171,cb_train-00001-of-00007_0337,CompBench,add,add a white sheep on the left side of the leftmost sheep with its back facing and head towards the right,a white sheep,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,337,b4891f7f/0/00045.png,cb-src-f3203e38af34b3475791,cb-scene-b4891f7f,extreme|side,A,extreme_or_superlative_instance|directional_instance
172,cb_train-00002-of-00007_0055,CompBench,add,add a light yellow dog on the left side of the group of dogs and below the steps with its back facing,a light yellow dog,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,55,db6533a5/1/00053.png,cb-src-2ebcdcd18b095fa0c469,cb-scene-db6533a5,relative|side,A,relative_to_neighbor|directional_instance
173,cb_train-00002-of-00007_0058,CompBench,add,add a yellow dog on the rightmost step of the dog pack facing the upper left,a yellow dog,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,58,db6533a5/1/00083.png,cb-src-7331830c44a66129d640,cb-scene-db6533a5,extreme|side,A,extreme_or_superlative_instance|directional_instance
174,cb_train-00002-of-00007_0066,CompBench,add,add a yellow chicken on the right side of the chicken to the right of the group of chickens with its head facing right,two yellow chickens,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,66,de2f2a6a/1/00092.png,cb-src-bcbe1f9f6d47e3c83c64,cb-scene-de2f2a6a,relative|side,A,relative_to_neighbor|directional_instance
175,cb_train-00002-of-00007_0072,CompBench,add,add a chicken similar to other chickens facing downwards below the upper left corner,a reddish-brown chicken,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,72,e18f1dea/0/00037.png,cb-src-a1e318fe9902b89bbad6,cb-scene-e18f1dea,relative|side,A,relative_to_neighbor|directional_instance
176,cb_train-00002-of-00007_0074,CompBench,add,add a chicken on the leftmost side of the chicken with similar feather color facing forward,a brown chicken,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,74,e18f1dea/0/00062.png,cb-src-1ca930d66785766874e7,cb-scene-e18f1dea,extreme,B,extreme_or_superlative_instance
177,cb_train-00002-of-00007_0077,CompBench,add,"add a monkey on the upper side of the rightmost monkey, which is pulling a rope",a black monkey,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,77,e1b7f212/3/00002.png,cb-src-4a8cd0cf77ed13714e83,cb-scene-e1b7f212,extreme|side,A,extreme_or_superlative_instance|directional_instance
178,cb_train-00002-of-00007_0081,CompBench,add,add a black-and-white fish with a black tail facing away on the leftmost of the school of fish,a black and yellow fish,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,81,e3dcd186/0/00014.png,cb-src-db0285c5b589eb47dc46,cb-scene-e3dcd186,extreme,B,extreme_or_superlative_instance
179,cb_train-00002-of-00007_0088,CompBench,add,add a tiger on the leftmost with fur color similar to other tigers and body facing right,a tiger,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,88,e5665030/1/00010.png,cb-src-12c2098df338355723b6,cb-scene-e5665030,extreme,B,extreme_or_superlative_instance
180,cb_train-00002-of-00007_0094,CompBench,add,add a pure white goose on the right side of the leftmost goose,a white goose,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,94,e7e2a0b9/2/00072.png,cb-src-e7a7255173b473780878,cb-scene-e7e2a0b9,extreme|side,A,extreme_or_superlative_instance|directional_instance
181,cb_train-00002-of-00007_0119,CompBench,add,add a monkey on the leftmost side running to the right with a straight tail similar to other small monkeys,a monkey,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,119,f33d3c15/1/00017.png,cb-src-5a9c81962e761232419b,cb-scene-f33d3c15,extreme,B,extreme_or_superlative_instance
182,cb_train-00003-of-00007_0115,CompBench,remove,remove the first yellow fish from below,gravel,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00003-of-00007.parquet,115,4a41cbf8/4/00008.png,cb-src-58088c8e8eee2bbade78,cb-scene-4a41cbf8,ordinal|relative,A,ordinal_instance|relative_to_neighbor
183,cb_train-00004-of-00007_0158,CompBench,remove,remove the leftmost duck in the group of ducks,ground,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00004-of-00007.parquet,158,9ae447a7/1/00003.png,cb-src-35198e48b10591a2b818,cb-scene-9ae447a7,extreme,B,extreme_or_superlative_instance
184,cb_train-00001-of-00007_0335,CompBench,add,add a sheep similar to the other sheep that is straddling the ravine,two white sheep,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,335,b4891f7f/0/00005.png,cb-src-d9fc6320cfab0487b464,cb-scene-b4891f7f,exclusion,A,subset_by_exclusion
185,cb_train-00006-of-00007_0281,CompBench,multi_object_add,add a fish tail on the upper left and add a fish below,fish tail|a fish,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,281,1fb378d9_00058.png,cb-src-3da605ddf9ee4272de61,cb-scene-1fb378d9,relative|side,A,relative_to_neighbor|directional_instance|multiple_edit_targets
186,cb_train-00006-of-00007_0283,CompBench,multi_object_add,add a zebra facing left on the leftmost and a zebra facing right on the rightmost,a zebra|a zebra,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,283,29ff29f6_00020.png,cb-src-78682822c5ae9077fdab,cb-scene-29ff29f6,extreme,A,extreme_or_superlative_instance|multiple_edit_targets
187,cb_train-00006-of-00007_0290,CompBench,multi_object_add,add two birds flying above the birds,a bird|a bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,290,7286b176_00024.png,cb-src-82cc671b42a369f13a48,cb-scene-7286b176,relative,A,relative_to_neighbor|multiple_edit_targets
188,cb_train-00006-of-00007_0315,CompBench,multi_object_add,add a black bird near the wall on the left and a white bird behind the black bird on the right,a black bird|a white bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,315,9ffb2818_00047.png,cb-src-8e4ccafc20fcb54895f5,cb-scene-9ffb2818,relative|side,A,relative_to_neighbor|directional_instance|multiple_edit_targets
189,cb_train-00006-of-00007_0323,CompBench,multi_object_add,add two chickens on the leftmost,a chicken|a chicken,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,323,ac32a655_00034.png,cb-src-cb40697a3137e0b2cec1,cb-scene-ac32a655,extreme,A,extreme_or_superlative_instance|multiple_edit_targets
190,cb_train-00006-of-00007_0327,CompBench,multi_object_add,add a black and white dog behind the white dog in front and a yellow dog on the right of the white dog,a dog|a yellow dog,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,327,ba4b3b09_00024.png,cb-src-65f09d801534d72a5fa4,cb-scene-ba4b3b09,relative|side,A,relative_to_neighbor|directional_instance|multiple_edit_targets
191,cb_train-00006-of-00007_0353,CompBench,multi_object_remove,remove the fish tail on the upper left and the fish below,water|water,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,353,1fb378d9_00058.png,cb-src-81baa6a1ab8d5ccc8c14,cb-scene-1fb378d9,relative|side,A,relative_to_neighbor|directional_instance|multiple_edit_targets
192,cb_train-00006-of-00007_0395,CompBench,multi_object_remove,remove the leftmost two chickens,ground|heap of stuff,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,395,ac32a655_00034.png,cb-src-06c49eb9ee85a817a7a0,cb-scene-ac32a655,extreme,A,extreme_or_superlative_instance|multiple_edit_targets
